loc_rowid,kepid,kepoi_name,kepler_name,Exo status,Orbital period,impact parameter,transit duration,radii(planet),orbit semi major,temperature,star temp,star radii,star mass
7449,4054784,K07679.01,,CANDIDATE,1.8679943,0.173,1.087,0.7,0.0286,1291,5487,0.815,0.899
7450,4072271,K07680.01,,CANDIDATE,219.20579,0.517,14.5,2.66,0.8176,456,6990,1.785,1.515
7451,4073017,K07681.01,,CANDIDATE,6.05552018,0.19,2.818,0.92,0.063,844,5352,0.805,0.919
7452,4073089,K07682.01,,FALSE POSITIVE,58.873429,0,17.487,76.18,0.3312,679,7078,1.568,1.401
7453,4136659,K07683.01,,FALSE POSITIVE,0.913244995,0.286,0.4931,0.77,0.0185,1967,5923,1.049,1.013
7454,4141587,K07684.01,,FALSE POSITIVE,10.2239787,0.439,1.814,24.43,0.1279,2364,4673,16.823,2.666
7455,4141593,K07685.01,,CANDIDATE,64.740274,0.74,15.082,1.35,0.3077,518,5999,1.177,0.926
7456,4141593,K07685.02,,CANDIDATE,33.502923,0.756,11.947,1.08,0.1984,645,5999,1.177,0.926
7457,4144873,K07686.01,,FALSE POSITIVE,68.538296,0.002,3.627,25.77,0.3266,1031,4687,8.123,0.988
7458,4252671,K07687.01,,CANDIDATE,23.266633,0.092,8.315,2.66,0.1821,1156,5758,3.775,1.487
7459,4281068,K07689.01,,FALSE POSITIVE,1.01530474,1.245,8.7622,64.77,0.0214,2324,6428,1.44,1.273
7460,4284980,K07690.01,,FALSE POSITIVE,2.2430415,0.147,3.63,0.89,0.0334,1344,5897,0.891,0.983
7461,4355503,K07691.01,,FALSE POSITIVE,0.570828503,0.609,0.915,0.54,0.01,986,3585,0.388,0.406
7462,4373195,K07692.01,,FALSE POSITIVE,0.56256804,0.692,1.686,0.63,0.0166,5127,9005,2.773,1.941
7463,4384909,K07693.01,,CANDIDATE,6.41097179,0.261,2.582,1.4,0.0669,886,5383,0.933,0.972
7464,4386607,K07694.01,,FALSE POSITIVE,5.99321872,0.02,3.92,1.23,0.0638,952,5853,0.868,0.961
7465,4390912,K07695.01,,FALSE POSITIVE,0.687506554,0.085,1.441,8.73,0.0147,4748,4643,7.906,0.898
7466,4472143,K07696.01,,FALSE POSITIVE,472.071079,0.388,5.759,2.01,1.2977,268,6186,1.253,1.305
7467,4574319,K07697.01,,FALSE POSITIVE,1.30627214,0.57,5.144,0.87,0.023,1490,5513,0.862,0.948
7468,4651399,K07698.01,,FALSE POSITIVE,508.807642,0.016,4.495,39.59,1.1612,595,4893,8.811,0.805
7469,4670267,K07699.01,,FALSE POSITIVE,1.003049079,0.568,7.9657,42.5,0.0186,1714,5775,0.844,0.856
7470,4670361,K07700.01,,CANDIDATE,631.56889,0.636,14.37,3.13,1.4908,237,6382,1.059,1.104
7471,4730442,K07702.01,,FALSE POSITIVE,1.71051215,0.057,1.284,1.04,0.027,2004,5925,1.589,0.898
7472,4742188,K07703.01,,CANDIDATE,413.51856,0.019,10.395,1.96,1.0911,254,6031,0.992,1.012
7473,4742452,K07704.01,,CANDIDATE,5.4398033,0.136,3.256,1,0.0634,1112,6108,1.08,1.147
7474,4762283,K07706.01,,CANDIDATE,42.04952379,0.23,2.1372,1.19,0.186,303,4281,0.48,0.485
7475,4774646,K07707.01,,FALSE POSITIVE,0.559517155,0.328,0.596,1.04,0.0139,2762,6462,1.309,1.153
7476,4813793,K07708.01,,CANDIDATE,6.70242786,0.369,1.221,1.82,0.0691,1367,5466,2.224,0.979
7477,4840156,K07709.01,,FALSE POSITIVE,2.69487041,0.554,2.553,0.97,0.0377,1440,5823,1.187,0.986
7478,4851283,K07710.01,,FALSE POSITIVE,1.23517588,0.625,5.476,1.59,0.0226,1697,5780,1,1
7479,4940203,K07711.01,,CANDIDATE,302.779824,0.001,16.847,1.31,0.8412,246,5734,0.797,0.865
7480,4996057,K07712.01,,CANDIDATE,4.8302364,0.316,7.983,1.06,0.0536,1453,5086,2.247,0.877
7481,5009688,K07713.01,,FALSE POSITIVE,1.381257093,0.351,1.125,1.1,0.0253,1728,5861,1.131,1.13
7482,5024429,K07714.01,,FALSE POSITIVE,1.52593737,0.681,1.958,1.39,0.0268,1697,6184,1.038,1.1
7483,5091479,K07715.01,,CANDIDATE,25.8616058,0.855,7.78,1.12,0.1685,613,6067,0.884,0.954
7484,5097856,K07716.01,,CANDIDATE,483.36405,0.614,15.61,1.27,1.1172,202,5700,0.718,0.806
7485,5120225,K07717.01,,FALSE POSITIVE,1.041619932,1.237,8.1218,30.94,0.019,1858,5838,0.991,0.848
7486,5126932,K07718.01,,FALSE POSITIVE,208.1871179,0.321,2.5404,1.99,0.6889,307,5780,1,1
7487,5168498,K07719.01,,FALSE POSITIVE,219.74735,0.097,22.48,3.24,0.6692,427,5127,2.38,0.825
7488,5185765,K07720.01,,FALSE POSITIVE,46.9434911,0.213,1.368,1.57,0.2637,669,6253,1.55,1.107
7489,5201593,K07721.01,,FALSE POSITIVE,0.50727675,0.429,2.32,1.7,0.0132,2449,5970,1.143,1.195
7490,5273713,K07722.01,,FALSE POSITIVE,1.337561836,0.055,1.575,1.11,0.0254,2322,6406,1.715,1.219
7491,5276332,K07723.01,,FALSE POSITIVE,357.82544,0.636,9.12,1.7,1.0224,306,6131,1.312,1.109
7492,5301093,K07724.01,,FALSE POSITIVE,488.67353,0.432,12.35,2.03,1.1542,188,5218,0.772,0.867
7493,5305399,K07725.01,,FALSE POSITIVE,322.48381,0.938,22.99,3.5,0.911,259,5968,0.881,0.97
7494,5389632,K07726.01,,FALSE POSITIVE,0.474811162,0.44,1.169,1.28,0.0118,2206,5799,0.878,0.975
7495,5444491,K07727.01,,FALSE POSITIVE,0.759740194,0.497,3.252,0.67,0.0169,2059,6046,1.007,1.111
7496,5456319,K07728.01,,FALSE POSITIVE,0.937923475,0.515,3.164,0.52,0.0181,1588,5398,0.805,0.902
7497,5460434,K07729.01,,FALSE POSITIVE,50.563697,0.779,5.381,1.57,0.3102,761,6759,2.022,1.552
7498,5512513,K07730.01,,FALSE POSITIVE,0.77459856,,2.71,,,,,,
7499,5513861,K07731.01,,FALSE POSITIVE,0.755105584,0.732,5.02374,76.26,0.0173,2412,6592,1.19,1.211
7500,5529552,K07732.01,,FALSE POSITIVE,0.759768478,0.583,2.824,0.64,0.0158,1737,5481,0.815,0.914
7501,5617259,K07733.01,,FALSE POSITIVE,1.048130894,0.216,5.6707,4.52,0.0246,3871,7673,3.214,1.799
7502,5653795,K07734.01,,FALSE POSITIVE,118.314913,0.522,4.79,7.23,0.5752,786,6190,4.763,1.811
7503,5687986,K07735.01,,CANDIDATE,382.30306,0.597,8.83,4.05,1.1324,400,5993,2.59,1.323
7504,5709103,K07736.01,,FALSE POSITIVE,0.664727127,0.382,1.561,0.46,0.0149,2343,6143,1.116,1.001
7505,5716508,K07737.01,,FALSE POSITIVE,4.75307877,0.019,2.35,505.94,0.0859,7040,3486,180.013,3.735
7506,5730380,K07738.01,,FALSE POSITIVE,0.954873008,0.578,1.0613,0.81,0.0182,2325,6092,1.363,0.881
7507,5736801,K07739.01,,FALSE POSITIVE,6.6751871,0.251,2.372,1.09,0.067,890,5774,0.818,0.907
7508,5774375,K07740.01,,FALSE POSITIVE,1.549979213,0.486,7.5945,136.64,0.0255,2141,5408,2.058,0.925
7509,5806800,K07741.01,,FALSE POSITIVE,125.288206,0.066,3.695,1.5,0.4972,363,5881,0.973,1.044
7510,5817957,K07742.01,,FALSE POSITIVE,372.76888,0.909,23.27,3.66,0.9978,242,5800,0.894,0.951
7511,5823557,K07743.01,,FALSE POSITIVE,2.4044122,0.559,4.575,0.85,0.036,1662,6398,1.249,1.07
7512,5877292,K07744.01,,CANDIDATE,11.7201693,0.292,2.399,1.34,0.1052,870,6193,1.067,1.127
7513,5879448,K07745.01,,FALSE POSITIVE,533.47707,0.418,23.71,2.6,1.2719,315,6077,1.759,0.964
7514,5881307,K07746.01,,CANDIDATE,393.95608,0.614,13.89,2.27,1.0722,263,6217,0.989,1.056
7515,5887316,K07747.01,,FALSE POSITIVE,0.603086711,1.251,1.0869,36,0.0147,2459,6353,1.134,1.174
7516,5887393,K07748.01,,FALSE POSITIVE,1.55090374,0.817,3.028,1.11,0.0329,3190,7612,2.968,1.969
7517,5888187,K07749.01,,CANDIDATE,133.6348207,0.438,1.584,1.89,0.482,317,5202,0.918,0.834
7518,5894182,K07750.01,,CANDIDATE,494.485085,0.017,3.905,5.03,1.374,379,6303,2.553,1.414
7519,5895083,K07751.01,,FALSE POSITIVE,2.25161215,0.647,2.1,1.14,0.0442,2934,9464,2.184,2.272
7520,5952448,K07753.01,,FALSE POSITIVE,0.905675699,0.008,1.701,0.77,0.0182,1780,5730,0.903,0.981
7521,5962509,K07754.01,,FALSE POSITIVE,0.790049989,0.185,2.794,0.67,0.0156,1724,5427,0.808,0.807
7522,5991070,K07756.01,,FALSE POSITIVE,0.94102954,0.119,4.415,1.41,0.0204,2761,5766,2.409,1.283
7523,6032920,K07757.01,,FALSE POSITIVE,10.82882574,0.137,0.7275,0.76,0.0912,758,5862,0.785,0.865
7524,6043538,K07759.01,,CANDIDATE,6.2253374,0.692,4.388,1.92,0.0694,1378,6263,1.726,1.147
7525,6069674,K07761.01,,FALSE POSITIVE,495.71095,0.718,4.514,4.41,1.2788,330,6054,1.953,1.135
7526,6106046,K07762.01,,CANDIDATE,8.5073512,0.223,2.266,1.38,0.0819,891,5914,0.955,1.011
7527,6113752,K07763.01,,FALSE POSITIVE,406.45737,0.428,9.554,1.96,1.1085,278,6217,1.141,1.095
7528,6124137,K07764.01,,CANDIDATE,227.83457,0.56,21.59,2.83,0.7638,449,6004,2.193,1.143
7529,6147851,K07766.01,,FALSE POSITIVE,3.06026014,0.675,2.545,0.83,0.0412,1284,5878,1.01,0.993
7530,6187888,K07768.01,,FALSE POSITIVE,0.789171236,0.417,1.734,0.69,0.0154,1527,4776,0.811,0.788
7531,6190535,K07769.01,,FALSE POSITIVE,3.652810043,0.086,1.5132,0.89,0.0427,1015,5213,0.831,0.777
7532,6198256,K07770.01,,FALSE POSITIVE,3.54828691,0.036,3.281,1.69,0.0518,1795,6573,1.987,1.475
7533,6199716,K07771.01,,FALSE POSITIVE,0.805267592,0.082,0.887,1.35,0.0179,2165,6268,1.1,1.188
7534,6205566,K07772.01,,FALSE POSITIVE,3.7228679,0.8,9.557,0.74,0.0472,1182,6046,0.927,1.011
7535,6231721,K07773.01,,CANDIDATE,2.69339974,0.279,1.936,1.04,0.0363,1151,5355,0.863,0.88
7536,6277410,K07774.01,,CANDIDATE,6.32589574,0.181,1.383,1.14,0.0647,901,5749,0.818,0.907
7537,6278670,K07775.01,,CANDIDATE,89.945828,0.171,2.286,3.46,0.3781,509,5115,1.924,0.891
7538,6356400,K07776.01,,CANDIDATE,541.92452,0.95,21.4,3.15,1.098,144,4378,0.614,0.601
7539,6369845,K07777.01,,FALSE POSITIVE,27.6760342,0.071,4.234,5.15,0.1821,951,5123,3.224,1.051
7540,6442602,K07778.01,,FALSE POSITIVE,0.56678228,0.153,4.725,0.88,0.0121,1661,4796,0.749,0.742
7541,6445531,K07779.01,,FALSE POSITIVE,1.71024931,0.508,2.833,1.2,0.0301,1766,6418,1.171,1.241
7542,6451368,K07780.01,,CANDIDATE,5.3360574,0.006,3.877,1.52,0.0647,1667,6742,2.032,1.267
7543,6469946,K07781.01,,FALSE POSITIVE,0.715802309,1.251,1.5586,25.52,0.0147,1656,5239,0.757,0.841
7544,6519865,K07782.01,,FALSE POSITIVE,0.566813677,0.449,2.458,0.77,0.0136,2269,6106,0.966,1.043
7545,6527016,K07783.01,,FALSE POSITIVE,0.542636318,0.056,1.2536,1.39,0.0125,2659,5277,1.633,0.888
7546,6531143,K07784.01,,FALSE POSITIVE,19.4444573,0.634,5.509,1.53,0.1477,749,6278,1.081,1.132
7547,6531617,K07785.01,,CANDIDATE,433.220461,0.178,2.725,2.07,1.0084,203,5232,0.777,0.727
7548,6547322,K07786.01,,FALSE POSITIVE,1.49131759,0.467,4.721,1.26,0.0279,2475,6014,2.429,1.303
7549,6590307,K07787.01,,FALSE POSITIVE,1.33253834,0.164,3.737,0.64,0.023,1453,5520,0.818,0.917
7550,6679504,K07788.01,,FALSE POSITIVE,0.798467681,0.331,0.86,0.82,0.015,1718,5575,0.733,0.706
7551,6780367,K07789.01,,FALSE POSITIVE,175.358905,0.034,5.34,2.9,0.5813,420,5109,2.02,0.85
7552,6783732,K07790.01,,FALSE POSITIVE,0.721335207,0.103,1.509,0.54,0.0158,2162,6328,0.948,1.012
7553,6790592,K07791.01,,CANDIDATE,106.18732,0.027,10.29,231.85,0.4546,2660,3287,152.969,1.11
7554,6795089,K07792.01,,FALSE POSITIVE,96.231257,0.442,2.488,29.26,0.4773,965,4895,9.529,1.563
7555,6863158,K07793.01,,CANDIDATE,1.99469354,0.643,5.297,0.46,0.0249,758,3799,0.51,0.518
7556,6863187,K07794.01,,FALSE POSITIVE,1.99492332,0.772,5.898,0.94,0.0319,1451,5957,0.971,1.083
7557,6887030,K07795.01,,CANDIDATE,5.44085762,0.735,2.119,0.97,0.0568,892,5519,0.762,0.827
7558,6891124,K07796.01,,CANDIDATE,3.52364689,0.004,3.439,0.94,0.0469,1330,6269,1.085,1.106
7559,6936966,K07797.01,,FALSE POSITIVE,36.4721523,0.738,2.673,0.7,0.2145,527,5853,0.895,0.99
