loc_rowid,kepid,kepoi_name,kepler_name,Exo status,Orbital period,impact parameter,transit duration,radii(planet),orbit semi major,temperature,star temp,star radii,star mass
1299,9466668,K00939.02,Kepler-256 d,CONFIRMED,5.83909761,0.341,3.1915,2.06,0.0624,1097,5553,1.25,0.949
1300,9466668,K00939.03,Kepler-256 b,CONFIRMED,1.620467654,0.271,2.1888,1.57,0.0265,1681,5553,1.25,0.949
1301,9466668,K00939.04,Kepler-256 e,CONFIRMED,10.6816951,0.646,3.605,2.3,0.0933,897,5553,1.25,0.949
1302,9479273,K00940.01,Kepler-734 b,CONFIRMED,6.104849417,0.041,4.6912,3.18,0.0583,784,5085,0.712,0.71
1303,9480189,K00941.01,Kepler-257 c,CONFIRMED,6.581477136,0.137,3.0896,4.56,0.0656,881,5188,0.973,0.868
1304,9480189,K00941.02,Kepler-257 b,CONFIRMED,2.382652873,0.682,1.8888,2.74,0.0333,1237,5188,0.973,0.868
1305,9480189,K00941.03,Kepler-257 d,CONFIRMED,24.66461416,0.8,2.8579,5.34,0.1582,567,5188,0.973,0.868
1306,9512687,K00942.01,Kepler-735 b,CONFIRMED,11.51517167,0.311,2.006,2.9,0.0965,657,5177,0.798,0.91
1307,9513865,K00943.01,Kepler-736 b,CONFIRMED,3.601465336,0.021,2.2753,2.31,0.0428,996,5052,0.855,0.805
1308,9595686,K00944.01,,CANDIDATE,3.108251172,0.9,2.5048,4.43,0.039,1096,5330,0.847,0.819
1309,9605514,K00945.01,Kepler-1666 b,CONFIRMED,25.8474958,0.054,5.985,2.4,0.1761,672,6297,1.031,1.084
1310,9605514,K00945.02,Kepler-1666 c,CONFIRMED,40.715561,0.008,6.894,2.7,0.2383,578,6297,1.031,1.084
1311,9605514,K00945.03,,FALSE POSITIVE,66.789347,0.667,4.08,2.07,0.3315,490,6297,1.031,1.084
1312,9661877,K00946.01,,FALSE POSITIVE,20.42720701,0.956,3.447,4.42,0.1485,674,6014,0.958,1.043
1313,9710326,K00947.01,Kepler-737 b,CONFIRMED,28.59914031,0.009,3.6567,1.83,0.1422,298,3755,0.461,0.47
1314,9761882,K00948.01,Kepler-738 b,CONFIRMED,24.58716355,0.648,3.984,2.37,0.1552,530,5474,0.749,0.831
1315,9766437,K00949.01,Kepler-739 b,CONFIRMED,12.53248222,0.668,4.0168,3.24,0.1054,775,5997,0.904,0.991
1316,9772531,K00950.01,,CANDIDATE,31.20169247,0.001,2.15663,8.31,0.1498,286,3748,0.449,0.461
1317,9775938,K00951.01,Kepler-258 b,CONFIRMED,13.19720694,0.568,3.4872,4.18,0.1027,642,4954,0.885,0.827
1318,9775938,K00951.02,Kepler-258 c,CONFIRMED,33.6528474,0.567,3.9616,3.05,0.1916,470,4954,0.885,0.827
1319,9787239,K00952.01,Kepler-32 b,CONFIRMED,5.90127815,0.03,2.1979,1.94,0.051,514,3731,0.498,0.509
1320,9787239,K00952.02,Kepler-32 c,CONFIRMED,8.75209691,0.017,2.3742,1.83,0.0664,451,3731,0.498,0.509
1321,9787239,K00952.03,Kepler-32 d,CONFIRMED,22.78078241,0.008,3.3002,2.17,0.1256,328,3731,0.498,0.509
1322,9787239,K00952.04,Kepler-32 e,CONFIRMED,2.896005211,0.082,1.6776,1.23,0.0318,652,3731,0.498,0.509
1323,9787239,K00952.05,Kepler-32 f,CONFIRMED,0.742957911,0.162,0.6688,1.47,0.0128,1026,3731,0.498,0.509
1324,9820483,K00953.01,Kepler-740 b,CONFIRMED,3.584101048,0.045,2.7316,4.66,0.0462,1131,5739,0.922,1.021
1325,9823457,K00954.01,Kepler-259 b,CONFIRMED,8.11528727,0.916,3.211,3.1,0.0785,879,5926,0.887,0.978
1326,9823457,K00954.02,Kepler-259 c,CONFIRMED,36.9250409,0.838,4.9381,3.01,0.2155,530,5926,0.887,0.978
1327,9825625,K00955.01,Kepler-741 b,CONFIRMED,7.03902016,0.015,3.8633,2.45,0.0744,1051,6321,1.058,1.108
1328,9875711,K00956.01,Kepler-742 b,CONFIRMED,8.360870704,0.494,2.7144,3.67,0.0744,690,4743,0.81,0.786
1329,7661409,K00957.01,,FALSE POSITIVE,3.14051153,1.251,8.2806,31.01,0.0414,1306,6108,0.974,0.959
1330,1026957,K00958.01,Kepler-1731 b,CONFIRMED,21.76129812,0.123,1.243,2.53,0.1401,486,4859,0.72,0.781
1331,10002261,K00959.01,,CANDIDATE,12.71379418,0.485,2.44093,2.31,0.0485,181,2661,0.116,0.094
1332,8176650,K00960.01,,FALSE POSITIVE,15.80110003,0.512,6.37505,15.61,0.118,614,5383,0.789,0.885
1333,8561063,K00961.01,Kepler-42 b,CONFIRMED,1.213770423,0.83,0.5532,0.78,0.0113,525,3292,0.148,0.132
1334,8561063,K00961.02,Kepler-42 c,CONFIRMED,0.453287416,0.81,0.4445,0.76,0.0059,729,3292,0.148,0.132
1335,8561063,K00961.03,Kepler-42 d,CONFIRMED,1.865114193,0.785,0.4279,0.66,0.0151,455,3292,0.148,0.132
1336,10657664,K00964.01,,FALSE POSITIVE,3.273699006,0.733,3.07626,22.36,0.0606,3060,10816,2.493,2.76
1337,3337351,K00965.01,,FALSE POSITIVE,7.047103499,1.047,3.3208,51.86,0.0725,955,5730,1.035,1.018
1338,3233043,K00966.01,,FALSE POSITIVE,0.379463865,1.246,0.86896,59.56,0.0099,3000,5075,1.783,0.905
1339,6579806,K00967.01,,FALSE POSITIVE,9.88047978,1.02,2.78458,23.6,0.0901,860,6113,0.917,0.997
1340,3560301,K00968.01,,FALSE POSITIVE,4.6484156,0.968,38.1939,5.06,0.0647,2259,6980,3.482,1.671
1341,4044005,K00969.01,,FALSE POSITIVE,17.51201477,0.994,1.8248,13.66,0.132,804,6224,1.132,0.998
1342,11502218,K00970.01,,FALSE POSITIVE,3.9886021,0.06,1.7376,34.39,0.0622,3145,4813,13.652,2.016
1343,11180361,K00971.01,,CANDIDATE,0.533059312,1.263,1.8621,133.56,0.0167,5862,8523,4.051,2.166
1344,11013201,K00972.01,,CANDIDATE,13.11896244,0.042,4.3045,8.25,0.1376,1768,7221,4.24,2.018
1345,11013201,K00972.02,,FALSE POSITIVE,7.82187328,0.005,3.8417,2.78,0.0975,2101,7221,4.24,2.018
1346,9414417,K00974.01,,CANDIDATE,53.5057611,0.46,10.5616,2.52,0.2934,675,6247,1.762,1.174
1347,3632418,K00975.01,Kepler-21 b,CONFIRMED,2.785821236,0.893,3.5599,1.69,0.0408,1784,6202,1.733,1.162
1348,3441784,K00976.01,,FALSE POSITIVE,52.56901867,1.197,6.7507,78.54,0.3227,737,7240,1.717,1.62
1349,11192141,K00977.01,,CANDIDATE,1.353771892,1.203,7.012,430.99,0.0234,4903,4283,15.76,0.931
1350,11494130,K00978.01,,FALSE POSITIVE,18.95491633,1.228,24.249,71.39,0.1539,1139,6362,2.534,1.352
1351,5648449,K00979.01,,FALSE POSITIVE,4.348866254,1.187,3.2797,2436.69,0.062,6421,3598,101.451,1.679
1352,12167361,K00980.01,,FALSE POSITIVE,47.93094546,1.272,2.6897,68.02,0.3108,905,8214,1.938,1.737
1353,1433962,K00982.01,,FALSE POSITIVE,1.592633181,0.003,5.5605,1.56,0.0232,1053,4506,0.651,0.654
1354,11607193,K00983.02,,FALSE POSITIVE,5.177577252,1.341,2.4777,73.82,0.069,1671,7429,1.796,1.634
1355,1161345,K00984.01,Kepler-1973 b,CONFIRMED,4.28746668,0.374,1.5693,2.29,0.0501,942,5296,0.815,0.911
1356,10227501,K00985.01,,FALSE POSITIVE,2.002779769,0.242,2.231,1.42,0.0289,1311,5346,0.892,0.799
1357,2854698,K00986.01,Kepler-260 b,CONFIRMED,8.18739443,0.377,3.0472,1.92,0.0745,782,5251,0.849,0.821
1358,2854698,K00986.02,Kepler-260 c,CONFIRMED,76.0498163,0.015,7.158,1.75,0.329,372,5251,0.849,0.821
1359,7295235,K00987.01,Kepler-743 b,CONFIRMED,3.179267286,0.171,1.0246,1.21,0.0418,1101,5511,0.857,0.96
1360,2302548,K00988.01,Kepler-261 b,CONFIRMED,10.38122447,0.319,2.715,2.18,0.0871,672,5095,0.78,0.816
1361,2302548,K00988.02,Kepler-261 c,CONFIRMED,24.5709023,0.945,3.587,2.82,0.1547,505,5095,0.78,0.816
1362,10743597,K00989.02,,FALSE POSITIVE,0.817026268,0.01,2.0799,2.92,0.0169,1784,5619,0.874,0.956
1363,10154388,K00991.01,Kepler-744 b,CONFIRMED,12.06222962,0.392,2.0584,1.62,0.0993,750,5547,0.933,0.897
1364,1432789,K00992.01,Kepler-745 b,CONFIRMED,9.93146307,0.037,5.678,2.41,0.0915,931,5782,1.22,1.035
1365,1432789,K00992.02,,CANDIDATE,4.57834367,0.232,3.987,1.44,0.0546,1206,5782,1.22,1.035
1366,1718189,K00993.01,Kepler-262 c,CONFIRMED,21.85362905,0.676,3.439,1.75,0.1515,618,5830,0.876,0.97
1367,1718189,K00993.02,Kepler-262 b,CONFIRMED,13.0607936,0.718,3.215,1.45,0.1075,734,5830,0.876,0.97
1368,1718189,K00993.03,,FALSE POSITIVE,86.723653,0.662,4.852,1.43,0.3799,391,5830,0.876,0.97
1369,1431122,K00994.01,,CANDIDATE,4.2989201,0.972,2.747,2.12,0.0492,1046,5300,0.986,0.861
1370,3858949,K00995.01,,FALSE POSITIVE,25.9518461,1.22,14.581,22.32,0.1649,521,5372,0.796,0.892
1371,3858824,K00996.01,,FALSE POSITIVE,25.9518536,1.25,14.755,24.6,0.1598,494,5198,0.742,0.813
1372,1432214,K00998.01,,FALSE POSITIVE,161.7883271,0.267,5.31,36.14,0.607,375,6018,1.212,1.142
1373,2165002,K00999.01,Kepler-263 b,CONFIRMED,16.56806842,0.164,4.2647,2.54,0.1155,548,4987,0.716,0.749
1374,2165002,K00999.02,Kepler-263 c,CONFIRMED,47.3329299,0.43,2.708,2.18,0.2326,386,4987,0.716,0.749
1375,2441728,K01000.01,,FALSE POSITIVE,0.856895349,0.554,1.3078,0.82,0.0174,1881,6021,0.873,0.958
1376,1871056,K01001.01,Kepler-264 b,CONFIRMED,40.8065333,0.016,13.135,3.71,0.2641,772,6207,2.097,1.472
1377,1871056,K01001.02,Kepler-264 c,CONFIRMED,140.10765,0.019,18.503,3.42,0.601,511,6207,2.097,1.472
1378,1865042,K01002.01,Kepler-746 b,CONFIRMED,3.4815917,0.076,1.8069,1.17,0.0435,1156,5405,1.022,0.902
1379,2438502,K01003.01,,FALSE POSITIVE,8.360616221,0.21,7.5385,40.35,0.089,1263,5463,2.445,1.343
1380,2309585,K01004.01,,FALSE POSITIVE,1.838514968,0.045,2.7391,4.86,0.0298,1426,5751,0.94,1.038
1381,5780460,K01005.01,Kepler-747 b,CONFIRMED,35.61760233,0.009,8.4559,5.17,0.1916,456,5123,0.779,0.737
1382,5738346,K01006.01,,FALSE POSITIVE,30.6113932,1.264,3.576,19.68,0.1575,317,3900,0.534,0.555
1383,1725016,K01007.01,Kepler-748 b,CONFIRMED,7.40742502,0.03,3.675,2.01,0.0745,938,5922,0.961,1.002
1384,1722276,K01008.01,,FALSE POSITIVE,569.934135,0.919,4.1904,38.98,1.317,296,5367,2.057,0.935
1385,892772,K01009.01,,FALSE POSITIVE,5.09246539,0.161,3.659,1.17,0.0521,844,5037,0.751,0.727
1386,5728283,K01011.01,,FALSE POSITIVE,6.198273591,0.343,7.53837,19.81,0.0657,985,6038,0.898,0.982
1387,8127639,K01012.01,,FALSE POSITIVE,1.023471798,0.974,2.3499,3.78,0.0192,1727,5741,0.893,0.901
1388,6047498,K01013.01,,FALSE POSITIVE,0.51872711,1.199,1.252,19.07,0.0119,1965,5572,0.762,0.853
1389,8125580,K01014.01,Kepler-749 b,CONFIRMED,17.31711739,0.684,3.1518,2.04,0.1054,454,4719,0.502,0.52
1390,8158127,K01015.01,Kepler-750 b,CONFIRMED,9.42889884,0.011,4.4481,4.39,0.093,1163,5897,1.86,1.204
1391,8158127,K01015.02,Kepler-750 c,CONFIRMED,4.08897299,0.374,3.585,2.36,0.0533,1537,5897,1.86,1.204
1392,8158127,K01015.03,,CANDIDATE,16.9972894,0.825,2.585,3.14,0.1378,956,5897,1.86,1.204
1393,8176653,K01016.01,,FALSE POSITIVE,2.866680334,0.968,1.1264,2.93,0.0373,1045,5238,0.764,0.854
1394,8174625,K01017.01,Kepler-751 b,CONFIRMED,17.44486016,0.871,4.445,3.24,0.1263,679,5568,0.966,0.882
1395,8183911,K01018.01,,FALSE POSITIVE,8.30697421,1.151,2.76,37.99,0.0747,1246,5300,2.124,0.804
1396,2309719,K01020.01,,FALSE POSITIVE,54.35635067,1.142,6.4345,38.81,0.2898,566,6161,1.255,1.095
1397,2558363,K01021.01,,FALSE POSITIVE,0.54624855,1.215,2.0543,18.93,0.0121,1837,5414,0.714,0.792
1398,2716853,K01022.01,Kepler-752 b,CONFIRMED,18.82744023,0.025,4.664,2.7,0.1353,632,5687,0.86,0.93
1399,2716853,K01022.02,,FALSE POSITIVE,68.832195,0.633,3.31,2.35,0.3212,411,5687,0.86,0.93
1400,2445154,K01023.01,,FALSE POSITIVE,8.4120069,0.022,3.923,1.71,0.0703,590,4502,0.621,0.662
1401,2715135,K01024.01,Kepler-753 b,CONFIRMED,5.747711909,0.575,1.8923,1.86,0.054,641,4252,0.632,0.637
1402,2574201,K01025.01,,FALSE POSITIVE,37.4783492,1.161,5.317,10.05,0.1692,262,3687,0.44,0.459
1403,2166206,K01028.01,,FALSE POSITIVE,8.09695764,1.165,3.319,34,0.0821,1197,5949,1.707,1.122
1404,2164169,K01029.01,Kepler-1732 b,CONFIRMED,32.3122867,0.934,6.569,4.84,0.2015,699,5821,1.494,1.043
1405,2574338,K01030.01,Kepler-1733 b,CONFIRMED,9.22961384,0.067,2.235,2.79,0.0933,1021,6320,1.252,1.273
1406,2584163,K01031.01,Kepler-754 b,CONFIRMED,14.5598556,0.026,5.624,1.64,0.116,758,5959,0.966,0.983
1407,5899544,K01034.01,,FALSE POSITIVE,1.739428983,4.246,2.4894,268.65,0.0263,1268,5415,0.742,0.806
1408,5963222,K01035.01,,FALSE POSITIVE,1.217266418,0.878,3.3208,14.49,0.0248,2378,6631,1.638,1.366
1409,5982353,K01036.01,,FALSE POSITIVE,19.56309252,0.842,6.9547,23.76,0.1473,965,6208,1.831,1.112
1410,6205468,K01037.01,,FALSE POSITIVE,3.7228551,0.911,12.8164,5.67,0.0464,1118,5873,0.863,0.954
1411,5802486,K01039.01,,FALSE POSITIVE,1.073917869,1.266,2.4305,33.01,0.0206,1794,5962,0.959,1.011
1412,5817553,K01040.01,,FALSE POSITIVE,4.206096814,1.239,10.7381,32.66,0.0531,1252,6306,1.076,1.126
1413,5982368,K01041.01,,FALSE POSITIVE,19.56313723,0.908,6.8575,9.73,0.1398,706,5766,1.077,0.952
1414,5816811,K01042.01,,FALSE POSITIVE,2.227718792,1.04,4.9699,8.88,0.0334,1400,6038,0.922,1
1415,5816165,K01043.01,,FALSE POSITIVE,0.591914504,1.344,1.0225,27.21,0.0123,1646,5122,0.655,0.713
1416,5802246,K01044.01,,FALSE POSITIVE,0.525154153,1.226,2.1441,23.61,0.0119,2073,5582,0.846,0.819
1417,6066403,K01045.01,,FALSE POSITIVE,1.303861044,1.258,4.0541,27.85,0.0224,1610,5758,0.902,0.887
1418,5988031,K01047.01,,FALSE POSITIVE,2.55549176,1.228,9.083,23.35,0.036,1312,5948,0.901,0.954
1419,5820218,K01048.01,,FALSE POSITIVE,3.411758679,1.213,3.158,14.71,0.0372,684,3995,0.561,0.582
1420,5876368,K01049.01,,FALSE POSITIVE,0.525426427,0.113,1.0801,1.45,0.0122,2069,5791,0.802,0.889
1421,5809890,K01050.01,Kepler-755 b,CONFIRMED,1.269091415,0.412,1.4647,1.41,0.0214,1331,5041,0.766,0.807
1422,5809890,K01050.02,Kepler-755 c,CONFIRMED,2.853133997,0.698,1.465,1.36,0.0367,1016,5041,0.766,0.807
1423,6131236,K01051.01,Kepler-1734 b,CONFIRMED,6.79685353,0.62,3.1702,2.01,0.0714,985,6061,0.97,1.05
1424,5956342,K01052.01,Kepler-265 c,CONFIRMED,17.02902786,0.202,4.645,2.54,0.1243,755,5839,1.067,0.881
1425,5956342,K01052.02,Kepler-265 b,CONFIRMED,6.84619236,0.077,3.529,1.67,0.0677,1022,5839,1.067,0.881
1426,5956342,K01052.03,Kepler-265 e,CONFIRMED,67.8321638,0.027,7.358,2.39,0.3123,476,5839,1.067,0.881
1427,5956342,K01052.04,Kepler-265 d,CONFIRMED,43.1312147,0.67,3.198,2.39,0.2309,554,5839,1.067,0.881
1428,5956656,K01053.01,Kepler-756 b,CONFIRMED,1.224866441,0.286,1.7086,1.54,0.0219,1741,5553,1.107,0.933
1429,5956656,K01053.02,,CANDIDATE,46.245164,0.392,5.663,2.46,0.2466,519,5553,1.107,0.933
1430,5866099,K01055.01,,FALSE POSITIVE,36.97708808,1.246,4.737,38.6,0.2077,602,5589,1.239,0.873
1431,6066416,K01057.01,,FALSE POSITIVE,1.303859704,0.674,2.8239,0.98,0.0239,2393,6802,1.521,1.069
1432,6124941,K01058.01,,CANDIDATE,5.670155713,1.267,0.9361,5.85,0.034,341,3337,0.183,0.164
1433,6060203,K01059.01,Kepler-757 b,CONFIRMED,1.022678654,0.019,1.3712,1.14,0.019,1734,5366,1.02,0.875
1434,5880320,K01060.01,Kepler-758 b,CONFIRMED,12.10968709,0.924,6.3461,2.98,0.1019,1005,6021,1.458,0.96
1435,5880320,K01060.02,Kepler-758 c,CONFIRMED,4.75796103,0.621,4.66,1.7,0.0547,1372,6021,1.458,0.96
1436,5880320,K01060.03,Kepler-758 d,CONFIRMED,20.4972755,0.966,8.536,2.96,0.1447,843,6021,1.458,0.96
1437,5880320,K01060.04,Kepler-758 e,CONFIRMED,8.19345065,0.815,5.234,1.74,0.0785,1144,6021,1.458,0.96
1438,6037187,K01061.01,Kepler-759 b,CONFIRMED,41.8059544,0.029,6.057,2.02,0.2329,533,5907,0.973,0.961
1439,6147122,K01062.01,,FALSE POSITIVE,15.45158184,0.636,2.406,2.02,0.1499,1285,7839,2.069,1.878
1440,8257407,K01063.01,,FALSE POSITIVE,89.69816853,0.684,5.5418,102.08,0.387,554,6214,1.583,0.959
1441,8218274,K01064.01,,CANDIDATE,1.187352427,1.222,4.999,67.35,0.0236,2251,6424,1.489,1.243
1442,8242681,K01065.01,,FALSE POSITIVE,4.020628573,0.827,4.4085,16.94,0.0511,1232,6210,1.033,1.093
1443,8260218,K01066.01,,CANDIDATE,5.714817603,0.096,3.14126,9.29,0.0597,943,5695,0.842,0.869
1444,8246781,K01067.01,,FALSE POSITIVE,185.0228822,1.004,4.87326,49.82,0.6712,379,6025,1.367,1.18
1445,8264070,K01068.01,,FALSE POSITIVE,2.897432135,0.967,3.1793,14.35,0.0441,2170,5970,2.994,1.359
1446,8222813,K01069.01,Kepler-760 b,CONFIRMED,8.70420525,0.5,2.9385,2.86,0.0772,748,5074,0.863,0.809
1447,8222813,K01069.02,Kepler-760 c,CONFIRMED,2.46697039,0.574,1.6345,1.56,0.0333,1139,5074,0.863,0.809
1448,8240904,K01070.01,Kepler-266 b,CONFIRMED,6.61836309,0.043,3.6813,2.98,0.0678,1066,5529,1.294,0.947
1449,8240904,K01070.02,Kepler-266 c,CONFIRMED,107.7214092,0.003,8.042,4.75,0.4352,421,5529,1.294,0.947
1450,8244190,K01071.01,,FALSE POSITIVE,1.09206833,0.469,1.8596,1.29,0.0205,1611,5639,0.859,0.959
1451,8229696,K01072.01,Kepler-761 b,CONFIRMED,10.12805158,0.753,3.517,1.95,0.0874,767,5676,0.82,0.865
1452,8262210,K01073.01,,FALSE POSITIVE,1.613001111,0.448,2.394,1.25,0.0259,1680,5580,1.205,0.886
1453,10272640,K01074.01,Kepler-762 b,CONFIRMED,3.770551475,0.053,3.8077,12.05,0.0493,1302,6322,1.075,1.124
1454,10232123,K01075.01,,CANDIDATE,1.343767797,0.891,1.9405,18.66,0.0256,2654,6324,2.312,1.23
1455,10223616,K01076.01,,FALSE POSITIVE,29.12436474,1.181,3.4209,15.25,0.1465,356,4457,0.481,0.494
1456,10268907,K01077.01,,FALSE POSITIVE,1.103971357,0.52,0.926,1.37,0.0196,1471,5409,0.746,0.835
1457,10166274,K01078.01,Kepler-267 b,CONFIRMED,3.353732008,0.051,1.4598,1.65,0.034,615,3789,0.46,0.467
1458,10166274,K01078.02,Kepler-267 c,CONFIRMED,6.877446033,0.79,1.3692,2.05,0.0549,484,3789,0.46,0.467
1459,10166274,K01078.03,Kepler-267 d,CONFIRMED,28.46464804,0.035,2.6657,1.87,0.1415,301,3789,0.46,0.467
1460,10158990,K01080.01,,FALSE POSITIVE,1.096583368,0.421,2.1188,1.35,0.0186,1474,5222,0.763,0.717
1461,10149023,K01081.01,,FALSE POSITIVE,9.95639775,1.222,5.615,28.15,0.095,905,6161,1.053,1.15
1462,10141900,K01082.01,Kepler-763 d,CONFIRMED,6.50327035,0.08,2.591,1.67,0.0634,804,4999,0.843,0.8
1463,10141900,K01082.02,Kepler-763 c,CONFIRMED,4.09667624,0.142,2.19,1.42,0.0466,938,4999,0.843,0.8
1464,10141900,K01082.03,Kepler-763 b,CONFIRMED,1.196548464,0.332,1.2592,1.25,0.0205,1414,4999,0.843,0.8
1465,10141900,K01082.04,,CANDIDATE,9.6550473,0.124,2.752,1.45,0.0825,705,4999,0.843,0.8
1466,10157458,K01083.01,Kepler-764 b,CONFIRMED,7.33685101,0.018,3.548,1.52,0.0724,875,5795,0.848,0.938
1467,10157458,K01083.02,,CANDIDATE,4.57797412,0.343,2.862,0.96,0.0529,1024,5795,0.848,0.938
1468,10148521,K01084.01,,FALSE POSITIVE,1.204274435,0.528,1.3362,1.19,0.0217,1564,5668,0.849,0.938
1469,10118816,K01085.01,Kepler-1735 b,CONFIRMED,7.71790675,0.112,1.84,0.9,0.0621,502,3975,0.509,0.535
1470,10122255,K01086.01,Kepler-765 b,CONFIRMED,27.6652847,0.004,6.633,2.21,0.1754,641,6036,1.017,0.939
1471,3124412,K01087.01,,FALSE POSITIVE,0.948950734,1.246,4.0245,36.87,0.0198,2103,6307,1.133,1.152
1472,3113266,K01088.01,,FALSE POSITIVE,0.995861402,1.256,1.1507,26.93,0.0176,1477,5286,0.706,0.731
1473,3247268,K01089.01,Kepler-418 b,CONFIRMED,86.67856052,0.291,10.1289,9.83,0.3779,434,5822,1.081,0.957
1474,3247268,K01089.02,Kepler-418 c,CONFIRMED,12.21828097,0.778,2.6969,5.1,0.1024,835,5822,1.081,0.957
1475,3232859,K01090.01,,FALSE POSITIVE,8.387210055,1.284,1.6477,72.52,0.0882,1211,6089,1.795,1.299
1476,3098184,K01091.01,,FALSE POSITIVE,15.2384539,0.74,19.292,9.84,0.1253,829,6384,1.086,1.129
1477,3239636,K01093.01,,FALSE POSITIVE,0.528755447,1.204,5.714,47.75,0.0134,3271,6151,1.954,1.158
1478,2721030,K01094.01,Kepler-766 b,CONFIRMED,6.10027621,0.015,4.7476,2.59,0.066,990,5957,0.937,1.026
1479,3329204,K01095.01,,CANDIDATE,51.59809554,0.251,2.0153,6.57,0.2675,449,5681,0.859,0.957
1480,3240706,K01098.01,,FALSE POSITIVE,5.48990788,1.199,4.02,23.6,0.0619,1039,5982,0.96,1.047
1481,2853093,K01099.01,Kepler-767 b,CONFIRMED,161.5278347,0,3.6734,8.19,0.5874,366,5778,1.213,1.033
1482,3228824,K01100.01,,FALSE POSITIVE,0.73093905,0.018,2.8437,1.45,0.0142,1488,4768,0.711,0.714
1483,3245969,K01101.01,Kepler-768 b,CONFIRMED,11.39102358,0.732,2.303,1.67,0.092,618,4983,0.728,0.836
1484,3231341,K01102.01,Kepler-24 c,CONFIRMED,12.33343853,0.979,6.221,4.12,0.1003,915,5896,1.24,0.884
1485,3231341,K01102.02,Kepler-24 b,CONFIRMED,8.14515981,0.965,5.073,3.43,0.076,1050,5896,1.24,0.884
1486,3231341,K01102.03,Kepler-24 e,CONFIRMED,18.9985279,1.3,4.529,43.17,0.1337,792,5896,1.24,0.884
1487,3231341,K01102.04,Kepler-24 d,CONFIRMED,4.24439049,0.949,3.282,2.07,0.0492,1305,5896,1.24,0.884
1488,2860866,K01103.01,,CANDIDATE,90.1240507,0.698,11.649,7.12,0.427,485,6520,1.215,1.279
1489,2851100,K01104.01,,FALSE POSITIVE,0.890110752,0.216,0.8774,1.25,0.0167,1372,4768,0.711,0.815
1490,3130300,K01105.01,,FALSE POSITIVE,5.76573396,0.708,2.924,7.47,0.0745,1964,5772,4.434,1.657
1491,3240158,K01106.01,Kepler-769 b,CONFIRMED,7.42608123,0.097,3.6379,2.47,0.0778,1037,6049,1.176,1.14
1492,3240158,K01106.02,Kepler-769 c,CONFIRMED,15.9868932,0.533,4.158,1.62,0.1297,803,6049,1.176,1.14
1493,3240158,K01106.03,,CANDIDATE,13.2298203,0.435,3.566,1.5,0.1143,856,6049,1.176,1.14
1494,3228959,K01107.01,,FALSE POSITIVE,0.73094589,1.169,4.32,17.12,0.0155,1922,5901,0.848,0.938
1495,3218908,K01108.01,Kepler-770 b,CONFIRMED,18.92537246,0.806,3.9835,13.92,0.1694,1171,4941,4.885,1.808
1496,3218908,K01108.02,Kepler-770 c,CONFIRMED,1.475323222,0.136,2.3155,5.88,0.0309,2740,4941,4.885,1.808
1497,3218908,K01108.03,Kepler-770 d,CONFIRMED,4.15246118,0.639,2.5755,7.62,0.0616,1941,4941,4.885,1.808
1498,2837111,K01110.01,Kepler-771 b,CONFIRMED,8.7348852,0.314,4.49,1.59,0.0843,890,5982,0.96,1.047
1499,2837111,K01110.02,,FALSE POSITIVE,3.71840884,0.192,3.611,0.84,0.0477,1184,5982,0.96,1.047
1500,3120276,K01111.01,,FALSE POSITIVE,10.26547688,0.69,3.733,1.81,0.0909,770,5699,0.853,0.95
1501,3109930,K01112.01,Kepler-1736 b,CONFIRMED,37.8102649,0.061,8.733,2.33,0.2188,566,6085,0.973,0.976
1502,2854914,K01113.01,Kepler-268 b,CONFIRMED,25.93406406,0.014,4.6142,2.48,0.1749,695,5952,1.225,1.059
1503,2854914,K01113.02,Kepler-268 c,CONFIRMED,83.4463485,0.058,6.536,2.73,0.3813,471,5952,1.225,1.059
1504,3337425,K01114.01,,FALSE POSITIVE,7.04710032,1.195,2.926,25.2,0.071,986,5766,1.068,0.96
1505,3116412,K01115.01,Kepler-772 b,CONFIRMED,12.99204853,0.091,6.0175,2.03,0.1071,866,5765,1.242,0.968
1506,2849805,K01116.01,Kepler-773 b,CONFIRMED,3.749105745,0.942,1.9826,1.68,0.047,1160,5751,0.983,0.987
1507,3114811,K01117.01,Kepler-774 b,CONFIRMED,11.08956602,0.02,6.2877,3.51,0.1114,1422,6353,2.867,1.497
1508,2853446,K01118.01,,CANDIDATE,7.37290344,0.993,2.172,2.67,0.0737,1004,5973,1.07,0.982
1509,3003992,K01119.01,,FALSE POSITIVE,7.24476126,0.04,2.3145,0.65,0.07,837,5370,0.874,0.869
1510,3003992,K01119.02,,FALSE POSITIVE,13.55480534,0.497,2.288,0.62,0.1062,679,5370,0.874,0.869
1511,6307537,K01120.01,,FALSE POSITIVE,29.74454668,0.337,23.2842,20.06,0.1773,455,4889,0.788,0.839
1512,6359798,K01121.01,,FALSE POSITIVE,14.15402428,1.1,4.47001,53.25,0.1144,777,5850,1.037,0.994
1513,6311681,K01122.01,,FALSE POSITIVE,0.844786082,1.297,3.5289,35.27,0.0167,1864,5705,0.915,0.865
1514,6365321,K01123.01,,FALSE POSITIVE,0.848483947,1.264,1.4451,32.11,0.0177,1908,5941,0.936,1.019
1515,6301035,K01124.01,,FALSE POSITIVE,11.99097576,1.269,5.7401,37.47,0.1006,880,6110,1.072,0.944
